,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO
327,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,761.07
328,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,337.0,106.55
329,"TUB INOX 5/16""ØX46CM 3000W240V 11/4""NPT",1953.26,626.37
330,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",498.0,143.8
331,"TUB COBRE 7/16""ØX495MM U 3000W127V PLAC",2005.5,327.61
332,BAN M/LUNA 123MMØX107MM 600W 230V ESPECI,568.97,0.0
333,BAN M/LUNA 208MMØX143MM 600W110V T/TOR,850.0,174.73
334,"BOB DSD CAL.10 3/4""ØX1085MM 4000W127V",932.5,300.96
335,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22
336,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
337,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43
338,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
339,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02
340,BAND P INOX 175MMx90MM 300W 110V TORNILL,497.2,66.08
341,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44
342,"PT-100 1/4""ØX12"" EXT1MT TEFLON 2 HILOS",659.48,98.65
343,"BAN P INOX 11/2""X17"" 800W240V ESP-1/4""",375.0,64.98
344,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,38.96
345,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.0,51.36
346,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96
347,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5211.65
348,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
349,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
350,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,87.1
351,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA",2835.0,0.0
352,"CB 3/4 X41"" DE LARGO 1300W 220 V",1247.5,0.0
353,"TER K 3/16""Øx7mm LONG EXT. 5 MTS T/PLICA",850.2,519.02
354,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.3,0.0
355,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,0.0
356,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3096.5,1282.76
357,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA",1784.0,116.97
358,REPARACION DE HORNO 3500W220V,7903.2,0.0
359,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0
360,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,0.0
361,"TUB INOX 5/16""ØX120CM 1250W 127V T/TOR",585.13,97.0
362,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",561.0,71.53
363,"CAS INOX 1/2""ØX3"" 400W 240V EXT.30CM",561.0,88.34
364,TK 6MMØX80CM EXT.50CM DOBLEZ 90° 4 HILOS,710.0,228.89
365,BAN M/L COMUN 137mmØx82mm 800W 220V,579.66,0.0
366,"BAN P COMUN 1""X48"" 1000W 240V EXT.30CM",800.0,0.0
367,RES EN CINTA NICRO4.0X0.101-2.8OHMS LAMI,395.0,0.0
368,BOE 45MMØX1360MM 3500W440V ROCHETA,3040.48,1137.06
369,BOE 45MMØX900MM 3500W440V ROCHETA,2366.63,698.18
370,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,691.68,211.36
371,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.33,410.21
372,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.0,38.96
373,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,0.0
374,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,0.0
375,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,71.25
376,"TEA K Ø3/4""X450MM NPT3/4"" CAB M STD",1850.0,0.0
377,REPARACION DE TUBO DE CUARZO 500W127V,636.21,102.22
378,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM",918.0,0.0
379,"BAN COMUN  5""ØX6"" 1800W 240V  C/ALLEN",525.0,97.46
380,"BAN COMUN 5""ØX4"" 1500W 240V C/ALLEN",495.0,172.28
381,BAN COMUN 178MMØX71MM ANCHO 1300W 240V,354.5,155.02
382,BAN COMUN 296MMØX71MM 2500W240V C/STD,354.5,177.36
383,"BAN P INOX 11/2""x85"" LONG 2200W 220V 9BA",2198.58,216.46
384,"BAN P INOX 1 1/2"" x50"" LONG 1200W 220V",1260.48,213.66
385,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66
386,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54
387,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09
388,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09
389,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,72.37
390,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
391,"TUB INOX 5/16""ØX45CM 750W 120V ""U"" T/TOR",527.59,64.91
392,"TUB INOX 3/8""ØX120CM 2083W 220V ""U"" TORN",1205.0,258.43
393,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",704.5,173.0
394,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,0.0
395,TUB INOX 8MMØX3650MM 1134W 230V RECTA,778.17,391.24
396,"TUB INOX 5/16""ØX120MM 1200W220V ""J"" PLAC",907.5,116.73
397,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",165.0,48.49
398,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,410.21
399,"TUB COBRE 5/16""Øx145CM  1500W120V PLAC",1551.72,316.4
400,"MAQUINADO DE PERNO 9/32""ØX20MM LATON",538.79,6.69
401,REPARACION DE CREPERA-FAB CAJA DE CONEXI,387.93,24.0
402,REPARACION DE CREPERA,1020.0,258.21
403,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,340.8
404,"BOQUILLA 11/2X1""1/2"" 300W 240V""",445.0,220.0
405,"TUB INOX. ALETA 7/16""Øx693mm 2000W 440 B",1513.0,0.0
406,"TUB INOX 5/16""Øx64CMS 700W220V.",500.5,0.0
407,"TUB INOX 5/16""ØX25CM 1650W220V M ESP/BUS",1056.03,244.91
408,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.5,88.95
409,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",646.6,91.21
410,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,366.1
411,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,736.48
412,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,356.75
413,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0
414,TIRA INOX 38MMX1012MM 2000W 240V T/TIPOH,620.0,0.0
415,"TUB INOX. 5/16""Øx330mm U 6KW 440V PLACA",1899.85,0.0
416,"TUB INOX 1/4""ØX355MM 4500W230V ES PLA-NV",2458.45,0.0
417,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,0.0
418,"TUB INOX 3/8""Øx810mm LONG RECTA 500W220V",657.5,88.74
419,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18,0.0
420,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7137.0,2935.26
421,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,137.48
422,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.09,42.79
423,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 1-IZQ",633.6,112.24
424,"BAN P INOX 10 1/4""X4 1/2"" 350W 127V T-TO",564.71,111.07
425,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 3-DER",633.6,112.24
426,"BAN P INOX 9 1/4""X4 1/4"" 350W127V 2/TOR",498.65,59.54
427,"BAN P INOX 10""X 4 1/2"" 350W127V 1-IZQ",616.0,110.37
428,"BAN P INOX 10""X4 1/2"" 350W127V 3-DER",598.0,110.37
429,REPARACION PISTOLA DE CALOR 1680W 120V,862.0,90.16
430,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,106.52
431,"TUB RECTA 1/2øX800mm 950W 140V""",705.5,0.0
432,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,359.16
433,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29
434,"TUB INOX 7/16""ØX35CM 1500W127V ""M"" ESP",1105.6,0.0
435,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ",2400.0,360.32
436,REPARACION DE TERMOPAR,1500.0,0.36
437,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0
438,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0
439,"BAN A COMUN 133MMØx11/2"" 900W 220V C/STD",405.2,0.0
440,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.76,113.59
441,"TUB INOX 5/16""x625mm 950W 220V U",625.7,0.0
442,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,0.0
443,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,51.36
444,"TUB INOX 1/4""ØX62"" 950W 230V",204.08,0.0
445,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA,1853.25,0.0
446,"PT-100 3/16""ØX1"" EXT.1MT T/PLICA CLAV-3H",599.0,0.0
447,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,0.0
448,"TUB INOX 7/16""ØX26CM 1500W220V U 11/2""NP",1991.06,0.0
449,CAS INOX 10MMØX60MM 500W 240V EXT30CM,535.12,0.0
450,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",3929.11,0.0
451,"FAB DE TERMOPOZO 1/2""ØX768MMLOGITUD",188.0,0.0
452,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",650.0,321.87
453,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4
454,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
455,"TUB COBRE7/16Øx590mm ""U"" 5000W 220V C/B""",1063.83,0.0
456,TER J 6mmØx30mm 7 MTS DE LONG.,908.0,204.07
457,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49
458,"TUB INOX 7/16""ØX47CM 9000W220V PLAC",2325.0,0.0
459,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65
460,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",1005.0,0.0
461,"TER J 1/4""ØX15CM CON 1/2""-1/2"" C/MARINA",1005.0,0.0
462,"TUB INOX 7/16""Øx80.5CMS U 12KW 240V TAPO",2849.5,1125.85
463,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.09,432.3
464,"PT-100 1/4""ØX1/2"" EXT.5MT BOY-2G 3 HILOS",900.69,0.0
465,"TUB INOX 5/16""ØX70CM 600W 127V RECTA",527.0,48.21
466,TUB ALETADA Ø 1/2 X 13 1/2 2000 W 220 V,1241.0,318.83
467,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA",1120.69,133.09
468,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",780.0,160.64
469,"TER J 1/4""ØX5"" CON 1/2""-1/2""NPT C/MARINA",867.03,0.0
470,"TUB INOX 5/16""ØX177MMØ 1900W220V PAR 9O°",940.0,0.0
471,"TUB INOX 5/16""ØX177MMØ 1900W220V PARRILL",940.0,0.0
472,"TUB INOX 1/4""ØX27"" 300W 230V",164.14,0.0
473,REPARACION DE SECADOR 460W 120V,907.0,7.6
474,REPARACION BANDA S/BLINDAJE 1068W 120V,659.6,107.68
475,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0
476,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
477,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,493.68
478,"RC 1/2""ØX40CM 650W127V T/TORNILLO",760.25,0.0
479,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",23995.24,4045.07
480,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3
481,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,145.0,0.0
482,"TUB INOX 7/16""ØX307MMX50MM 800W220V BUSH",1035.0,223.66
483,BN INOX 46MMØX122MM 600W220V EXT30CM ALL,612.0,183.93
484,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",825.0,333.44
485,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",1529.69,842.74
486,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",703.45,217.64
487,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0,797.54
488,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,1319.75
489,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,110.0,42.79
490,CAM INOX 10MMØX50MM 250W 240V EXT30CM,435.97,67.31
491,CAM INOX 10MMØX50MM 300W 240V EXT30CM,491.03,67.21
492,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,180.0,86.23
493,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49
494,BAN M/LUNA 208MMØX257MM 1350W127V EXT30,676.72,0.0
495,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",1000.0,0.0
496,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",1000.0,0.0
497,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",695.2,46.14
498,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0
499,"TUB INOX 1/4""ØX90"" 1350W 230V",243.82,0.0
500,"CAS INOX 1/4""ØX2 1/2"" 200W 127V EXT30CM",468.1,28.9
501,"PT-100 3/16""ØX4"" CON1/2""-1/2"" NPT EXT5MT",1395.35,671.48
502,"TUB INOX ALETADA 1/2""Øx30CMS 1000W 480V",1037.1,249.07
503,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,714.2
504,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",780.0,160.64
505,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,250.0,72.37
506,BOB 8020 CAL.22 2.8MMØX2.3MTS 1800W 240V,1274.14,199.22
507,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",1529.69,842.74
508,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",805.0,143.09
509,"TUB INOX 7/16""ØX150MM 600W120V M PLAQ",812.0,0.0
510,"TUB INOX 1/4""ØX50CM 500W127V RECTA T/BAN",587.0,0.0
511,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,51.36
512,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,517.64
513,FAB RESISTENCIAS 11520W 480V EN BASE GAL,7402.72,0.0
514,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7133.17,2935.26
515,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,76.46
516,"TUB INOX. 5/16""Øx320mm 750W, 120V. U",622.0,36.0
517,"TUB INOX 5/16""ØX43CM1850W240V ""M ESP/TOR",1208.25,67.21
518,TIRA ALETADA 38MMX760MM 1960W230V T/TOR,2600.0,509.98
519,"TUB INOX 3/8""ØX395MM CIR/ALETA 8500W230V",6300.0,694.6
520,"TUB INOX 1/2""ØX246MM 3000W480V ""M"" BUSH",985.0,0.0
521,"TUB INOX 7/16""ØX40.5CM 15KW240V PLA/ESP",3837.4,0.0
522,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,978.6,0.0
523,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,3624.09
524,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",420.69,144.4
525,BAN P INOX 258MMX385MM 3000W220V EXT3MT,1756.0,841.63
526,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71,0.0
527,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4
528,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",398.0,50.54
529,"CAE INOX 5/8""ØX73CM 2400W 240V RON/EXT1M",1022.0,0.0
530,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA""",2497.0,504.53
531,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz",976.0,0.0
532,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,852.37
533,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,335.51
534,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0
535,"TUB INOX 1/2""ØX20""Ø 7000W240V ESPIRAL/BU",3395.0,0.0
536,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM",488.62,0.0
537,BB INOX 40MMØX80MM 400W 240V EXT.30CM,366.0,42.99
538,"TER T 3/16""ØX1 1/2"" EXT 1M TEFON/MALLA",276.91,11.02
539,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,76.74
540,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
541,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,427.0,33.79
542,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,112.64
543,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4
544,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54
545,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",893.0,72.34
546,"TUB INOX 1/4""ØX90"" 1350W 230V",244.02,210.95
547,"TUB U"" 7/16 Ø X50 CM 10 KW 440 V DELTA""",2895.47,0.0
548,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",2186.0,1048.4
549,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.12,42.79
550,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,0.0
551,BAN A/COMUN 165MMØX60MM 800W 254/440V,623.2,0.0
552,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",330.85,0.0
553,"TUB INOX 3/8""ØX235MM 3300W 230V CLIP/PLA",2044.2,0.0
554,BAN P COMUN 45MMX390MM 1200W240V B/CERAM,648.3,97.53
555,REPARACION TERMINALES BANDA 1500W 220V,419.0,10.7
556,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",225.0,0.0
557,"RC 1/2""ØX38.5CM 600W 120V T/TORNILLO CER",734.5,0.0
558,FABRICACION DE CRISOL 500W 127V 50-60HZ,13800.0,2227.85
559,"TUB INOX 1/2""ØX25CM 1500W 127V ""M"" C/BUS",1158.19,305.31
560,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",207.0,90.91
561,REPARACION PORTA MATRAZ 1035W 115V,634.5,42.35
562,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,427.0,33.79
563,REPARACIÓN DE SELLADORA 30CM 146W 120V,301.07,3.8
564,"TUB INOX 7/16""ØX268MM 4KW270V 4 CLIP/PLA",1306.03,344.32
565,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,131.87
566,"RC 1/2""Ø X 34"" LONG 1000W 12OV TE/GANCHO",1450.0,224.13
567,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.95,200.3
568,"FAB  DE TERMOPOZO 1/4""ØX22CM EN PLACA",410.0,0.0
569,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2200.0,773.91
570,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,978.6,477.85
571,TEA J 6MMØX30MM EXT.2MT RESOR/BOY2G/CLAV,732.0,136.25
572,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.25,62.82
573,"CAS INOX 1/2""ØX2"" 400W 240V EXT.1MT",663.88,101.4
574,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2,0.0
575,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",703.45,217.64
576,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",488.0,0.0
577,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,62.82
578,"TER J 3/16""ØX45MM LONG EXT.1MTLONG MALLA",994.0,0.0
579,"TER K 3/16""ØX1"" EXT.7MTS MALLA  Z/ESPADA",551.25,0.0
580,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0,797.54
581,BB INOX 40MMØX51MM 300W 240V EXT.30CM,475.0,36.52
582,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,701.72
583,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",375.0,88.03
584,REPARACION DE HORNO 7000W 220V,6273.0,1368.31
585,"TUB INOX 7/16""ØX30CM 300W127V RECTA/CERA",532.76,33.75
586,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4,80.09
587,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",689.63,227.18
588,REPARACION EQUIPO COCINA 5000W 22OV,13776.88,0.0
589,"CAS INOX 5/8""ØX7"" 500W220V EXT.1MT MALLA",933.85,172.13
590,"TER J OJILLO 3/16""Ø EXT1.5MTS MALLA/RESO",335.0,58.36
591,"TIRA P INOX 8 7/8""ØX11/2"" 1950W240V ALET",1944.0,0.0
592,"TIRA P INOX 12 1/2""ØX11/2"" 3100W240V ALE",2133.25,0.0
593,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0,253.0
594,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,0.0
595,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,0.0
596,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,0.0
597,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1130.54
598,"TUB INOX 1/2""Øx90CMS U 25KW 440V TAPON 2",4580.0,2061.24
599,REAPARACION DE HORNO 1800W 120V,2325.34,518.74
600,"TUB INOX 5/16""ØX15CMØ 1200W127V PARR/90°",564.1,60.64
601,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,685.68
602,"TUB INOX 1/4""ØX455MM 1560W127V M ES/PLAC",1451.65,295.91
603,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",572.0,0.0
604,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",812.0,0.0
605,PT-100 6MMØX110MM EXT15MTS TEFLON/ZAP,1548.0,0.0
606,"PT-100 DE Ø 3/16 X4"" DE LONG. 80 CM",622.0,0.0
607,"TUB INOX 7/16""Øx500mm U 3000W 220V BU5/8",986.0,0.0
608,"TUB INOX 5/16""ØX142MM ""J"" 1000W120V SAND",1133.0,279.88
609,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,165.95
610,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,150.86,42.79
611,REPARACION HORNO 1500W 120V,474.14,0.0
612,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,806.14
613,"TUB INOX 3/8""ØX186.5CM ""U"" 3000W220V CAP",1526.77,0.0
614,"TUB INOX 7/16""ØX498MM 3000W220V M ESP/PL",1088.0,0.0
615,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,1296.0,0.0
616,"TUB INOX 3/8""ØX775MM 850W 120V RECTA TOR",689.0,170.19
617,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",578.0,181.72
618,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,253.0
619,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,0.0
620,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,0.0
621,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,115.41
622,FABRICACION TUB  J INOX 2000W 127V C/TE,1139.88,168.7
623,"CART INOX 1/2""Øx16CMS 700W 120V CABLE 50",790.0,117.49
624,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,210.0,77.57
625,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,0.0
626,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT",617.2,0.0
627,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0
628,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,0.0
629,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",582.93,0.0
630,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,97.49
631,"CAS INOX 5/8""ØX3 1/2"" 300W 127V EXT30CM",592.5,0.0
632,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",642.0,321.87
633,BAN P INOX 80MMØX255MM 450W 220V T/TOR,994.4,0.0
634,"CART INOX 1/2""Øx3"" 250W 230V CABLE STD",632.5,0.0
635,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,287.63
636,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V",1130.5,0.0
637,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM,840.0,0.0
638,"TUB INOX 5/16""ØX25CM 1000W127V 1""NPTCAJA",1842.5,0.0
639,"TUB INOX 5/16""ØX25CM 250OW127V 1""NPTCAJA",1914.5,0.0
640,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG""",1239.3,0.0
641,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC",1047.0,0.0
642,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL",965.0,0.0
643,"TER K 1/4""ØX3/4"" TORNILLO/LOCO EXT.80CM",516.0,0.0
644,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,453.24,171.87
645,TUBULAR 11mmØx850mm 6kW 500V 6pz,7612.73,0.0
646,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",980.0,0.0
647,CAS INOX 12MMØX230MM 950W440V EXT.30CM,910.0,0.0
648,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA",1140.86,407.85
649,"AK DOBLE 3/16""ØX530MM PLACA-CER4POLOS",750.0,0.0
650,"TUB INOX 5/16""ØX23CM 500W127V CLIP 11/4""",2105.3,848.3
651,"CBE INOX 1/2""ØX120MM 110W115V EX50CM CON",775.6,208.61
652,TER J 4MMØX65MM EXT1M MALLA INOX TRAN6MM,400.64,0.0
653,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3
654,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,266.04
655,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0,3900.52
